Content / Allocation,Key Source / Unit,Key Concept / Theme
Challah,Selected simanim in Orach Chaim / Yoreh De’ah,"Core halacha areas (Shabbat, kashrut, berachot, family life) integrated with practical living"
Challah,"Shabbat hilchot (e.g., melachot, kiddush, havdalah)",Structure and rhythm of Shabbat in home and shul
Challah,"Kashrut basics (issur ve-heter, basar bechalav)",Daily kashrut practice and decision making
Challah,Berachot on food and experiences,Awareness and gratitude in everyday life
Class periods,Yearly halacha strand plan,Dedicated halacha strand including Challaha topics
Class periods,70 halacha periods per year,50 regular + 20 holiday programs within 175 Judaic periods total
Class periods,Holiday-focused units,Applied halacha for chagim in school and home settings
613 commandments (Torah mitzvot),Sefer HaChinuch / Rambam’s Sefer HaMitzvot overview,613 mitzvot as organizing framework
613 commandments (Torah mitzvot),Mitzvot bein adam laMakom,Categories of God-focused mitzvot with examples
613 commandments (Torah mitzvot),Mitzvot bein adam lechavero,Interpersonal mitzvot and ethical obligations
613 commandments (Torah mitzvot),"Mitzvot related to time, place, people",How context shapes obligation
Mishnah Torah,"Rambam, Mishneh Torah selected halachot",Systemic organization of mitzvot and halachot
Mishnah Torah,Yesodei HaTorah / De’ot excerpts,"Belief, character, and halachic ideals"
Mishnah Torah,Hilchot Tefillah / Berachot excerpts,Codified tefillah and berachot practice
Shulchan Aruch,"Shulchan Aruch and major nosei keilim (e.g., Mishnah Berurah)","Later, practical halachic code guiding contemporary practice"
Shulchan Aruch,Orach Chaim sample simanim,"Daily practice (tefillah, tzitzit, Shabbat) in code form"
Shulchan Aruch,Comparison: Mishnah Torah vs. Shulchan Aruch,Development of halachic codification and psak
